month,orders_cnt,total_spend,aov,median_delivery,avg_fees_ratio
2025-02,3,88.16,29.386666666666667,17.0,0.02564211001155937
2025-03,6,190.43,31.738333333333333,37.5,0.047373335167753196
2025-04,8,217.57,27.19625,30.5,0.0555284297469498
2025-05,11,405.34,36.849090909090904,51.0,0.060876317708709465
2025-06,10,179.09,17.909,27.5,0.09340719569757289
2025-07,5,79.23,15.846,18.5,0.12453747719925165
2025-08,13,421.2,32.4,24.0,0.06197588014096222
2025-09,12,310.47,28.224545454545456,28.0,0.05648170588242854
2025-10,21,534.03,25.43,31.0,0.06118428590046067
2025-11,21,493.14,23.482857142857142,36.0,0.04528295201672418
2025-12,15,342.0,22.8,45.0,0.02538505765087556
2026-01,2,42.71,21.355,29.5,0.07646229573649445
2026-10,1,23.16,23.16,,0.0427461139896373
NaT,3,27.56,27.56,,0.0566037735849056
